MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0.3148748159057436,0.7276513937840435,0.5714285714285714,40,squared_error,3,2.75,10
0.8231222385861561,0.4335148990708106,0,190,squared_error,18,4.25,6
0.15596465390279823,0.6859980775392502,0.8571428571428571,130,squared_error,1,0.75,15
0.8111929307805595,0.43896187119512975,0,170,squared_error,17,4.25,13
0.8930780559646538,0.4037167574495354,0,180,absolute_error,17,6.75,14
0.8110456553755521,0.43896187119512975,0,200,squared_error,19,4.25,1
0.3425625920471281,0.6802306952899712,0.5714285714285714,130,squared_error,3,2.5,17
0.6743740795287186,0.5084908683114386,0.14285714285714285,30,poisson,6,9.25,10
0.8727540500736377,0.41204742069849404,0,190,absolute_error,8,8.25,2
0.8014727540500736,0.443447613,0,90,squared_error,8,5.5,4
0.8157584683357879,0.43671900032041006,0,80,squared_error,13,6,17
0.4212076583210604,0.731175905,0.42857142857142855,10,poisson,1,5.5,9
0.8111929307805595,0.43896187119512975,0,190,squared_error,9,3.5,5
0.20530191458026506,0.8260173021467478,1,40,squared_error,1,0.25,19
0.5397643593519882,0.5950016020506248,0.14285714285714285,120,poisson,5,6.5,10
0.35434462444771725,0.7154758090355654,0.5714285714285714,150,poisson,2,6.25,9
0.8078055964653901,0.4402435116949695,0,180,poisson,19,0.5,6
0.816200295,0.43671900032041006,0,190,squared_error,10,3.75,2
0.21148748159057437,0.7449535405318808,1,160,squared_error,1,4.5,8
0.8117820324005891,0.43864146107016977,0,180,poisson,10,1.25,10
0.6086892488954344,0.5479013136815124,0.14285714285714285,40,absolute_error,5,9.5,16
0.21089837997054492,0.8324255046459467,1,190,poisson,1,2.75,14
0.8134020618556701,0.4380006408202499,0,200,squared_error,9,5,5
0.5220913107511045,0.6078180070490227,0.14285714285714285,140,poisson,5,6,3
0.8185567010309277,0.4354373598205703,0,60,squared_error,20,6,3
0.5450662739322533,0.5908362704261454,0.14285714285714285,100,poisson,6,3.5,2
0.8827687776141383,0.40788208907401474,0,110,absolute_error,12,3.5,11
0.814580265,0.43735982057032996,0,60,squared_error,17,1.5,18
0.3215022091310751,0.6799102851650112,0.5714285714285714,120,absolute_error,2,2.5,11
0.876583211,0.41044537007369425,0,170,absolute_error,13,8,18
0.8042709867452135,0.44216597244472927,0,30,squared_error,11,6.75,1
0,0.7901313681512335,0.8571428571428571,10,squared_error,1,6.75,5
0.8078055964653901,0.4405639218199295,0,150,squared_error,12,1.5,1
0.7966126656848306,0.44569048381928866,0,20,squared_error,16,2.25,3
0.4151693667157584,0.674463313,0.5714285714285714,50,squared_error,4,4.5,7
0.8181148748159056,0.4357577699455303,0,150,squared_error,14,5.5,18
0.1908689248895434,0.756488305,1,120,squared_error,1,4.75,3
0.8540500736377024,0.41973726369753284,0,140,absolute_error,8,6.25,14
0.8151693667157583,0.4370394104453701,0,80,squared_error,16,9.25,20
0.31237113402061856,0.6968920217878884,0.5714285714285714,160,absolute_error,1,7,9
0.8976435935198821,0.4017942966997757,0,50,absolute_error,9,2,5
0.514580265,0.6129445690483819,0.2857142857142857,110,absolute_error,4,2.5,18
0.8257731958762885,0.4322332585709708,0,70,poisson,16,4.5,14
0.8172312223858614,0.4360781800704902,0,180,poisson,12,1.25,11
0.572901325,0.5712912528035885,0.14285714285714285,10,absolute_error,5,8.5,19
0.8108983799705449,0.43896187119512975,0,30,squared_error,20,3.75,19
0.5687776141384387,0.5741749439282282,0.14285714285714285,100,squared_error,6,3.75,1
0.8827687776141383,0.40788208907401474,0,100,absolute_error,13,3.25,13
0.8085419734904271,0.4402435116949695,0,100,poisson,16,4.75,11
0.8245949926362296,0.43287407882089074,0,20,squared_error,16,7,10
0.8200294550810013,0.43479653957065045,0,180,poisson,18,8.75,3
0.8266568483063327,0.4319128484460109,0,120,poisson,18,2.75,2
0.8142857142857141,0.43735982057032996,0,170,poisson,14,10,2
0.8926362297496317,0.4037167574495354,0,60,absolute_error,17,9,5
0.8022091310751104,0.4431272028196091,0,10,poisson,11,3.75,2
0.8941089837997053,0.4030759371996155,0,140,absolute_error,17,1.75,13
0.8802650957290131,0.40884331944889457,0,70,absolute_error,18,4,7
0.810603829,0.43896187119512975,0,90,poisson,10,2,7
0.40265095729013245,0.6901634091637295,0.5714285714285714,120,squared_error,3,2,1
0.8157584683357879,0.43671900032041006,0,140,squared_error,15,0.25,15
0.8085419734904271,0.4402435116949695,0,170,poisson,18,3,1
0.8876288659793813,0.40595962832425503,0,200,absolute_error,18,0.5,15
0.476141384,0.6430631207946171,0.5714285714285714,190,poisson,4,6.5,17
0.7926362297496317,0.44729253444408845,0,100,squared_error,18,7.5,19
0.819440353,0.4351169496956104,0,40,poisson,12,3,13
0.9098674521354934,0.3969881448253765,0,90,absolute_error,12,5,15
0.925184094,0.3909003524511374,0,10,absolute_error,11,5.25,7
0.7438880706921944,0.4713232938160846,0.14285714285714285,70,absolute_error,7,5.25,2
0.4399116347569955,0.6735020826658122,0.5714285714285714,30,squared_error,4,6.75,7
0.2893961708394698,0.6888817686638897,0.5714285714285714,30,squared_error,3,5.25,5
0.8209131075110455,0.4344761294456904,0,90,poisson,16,8,10
0.7698085419734904,0.4585068888176866,0,150,absolute_error,7,4.25,12
0.87982327,0.4091637295738545,0,140,absolute_error,18,4.75,14
0.49617083946980844,0.6270426145466197,0.2857142857142857,160,squared_error,5,8,5
0.8013254786450662,0.443447613,0,40,squared_error,19,3.5,15
0.500441826,0.6238385132970201,0.2857142857142857,120,absolute_error,4,7.25,3
0.8128129602356405,0.4380006408202499,0,100,poisson,20,3,6
0.8790868924889542,0.4094841396988145,0,130,absolute_error,17,8,14
0.5422680412371134,0.5927587311759052,0.14285714285714285,160,absolute_error,4,2.5,5
0.8042709867452135,0.44216597244472927,0,160,squared_error,13,2.75,15
0.33505154639175255,0.7013777635373277,0.5714285714285714,100,poisson,3,4.5,11
0.8134020618556701,0.4380006408202499,0,200,squared_error,12,0.75,16
0.8126656848306331,0.43832105094520984,0,180,squared_error,13,1,12
0.7980854197349042,0.4450496635693688,0,30,squared_error,9,9.75,6
0.5287187039764358,0.6023710349247036,0.14285714285714285,40,poisson,6,2.5,16
0.563622975,0.5776994553027875,0.14285714285714285,140,squared_error,6,7,3
0.2924889543446244,0.7862864466517141,0.5714285714285714,60,poisson,2,6,12
0.46185567010309275,0.656520346,0.5714285714285714,80,absolute_error,3,8.5,12
0.827540501,0.4315924383210509,0,160,squared_error,18,5.75,10
0.8908689248895433,0.40435757769945524,0,120,absolute_error,19,2.5,17
0.8818851251840941,0.40820249919897467,0,180,absolute_error,10,1.5,9
0.5618556701030927,0.5789810958026274,0.14285714285714285,140,squared_error,6,1.25,5
0.8128129602356405,0.4380006408202499,0,150,squared_error,13,6.25,5
0.902061856,0.399871836,0,110,absolute_error,12,4.75,17
0.9138438880706921,0.39538609420057674,0,130,absolute_error,9,9.75,8
