MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
0.964750957854406,0.1375158428390367,0.4999999999999999,40,squared_error,3,2.75,10
0.8885057471264369,0.0811153358681875,0.4999999999999999,190,squared_error,18,4.25,6
0.2919540229885059,0.5937896070975919,0.7499999999999999,130,squared_error,1,0.75,15
0.8750957854406131,0.0741444866920152,0.4999999999999999,170,squared_error,17,4.25,13
0.6498084291187739,0.1653992395437262,0.4999999999999999,180,absolute_error,17,6.75,14
0.8804597701149426,0.076679340937896,0.4999999999999999,200,squared_error,19,4.25,1
0.9337164750957856,0.1571609632446134,0.4999999999999999,130,squared_error,3,2.5,17
0.8670498084291188,0.0703422053231939,0.4999999999999999,30,poisson,6,9.25,10
0.5095785440613028,0.1780735107731305,0.4999999999999999,190,absolute_error,8,8.25,2
0.8601532567049809,0.0671736375158428,0.4999999999999999,90,squared_error,8,5.5,4
0.8632183908045977,0.0684410646387832,0.4999999999999999,80,squared_error,13,6.0,17
0.8452107279693487,0.0595690747782002,0.4999999999999999,10,poisson,1,5.5,9
0.8881226053639846,0.0804816223067173,0.4999999999999999,190,squared_error,9,3.5,5
0.4934865900383142,0.7338403041825095,0.7499999999999999,40,squared_error,1,0.25,19
0.8862068965517241,0.0798479087452471,0.4999999999999999,120,poisson,5,6.5,10
0.8812260536398467,0.0773130544993662,0.4999999999999999,150,poisson,2,6.25,9
0.8858237547892721,0.0798479087452471,0.4999999999999999,180,poisson,19,0.5,6
0.8632183908045977,0.0684410646387832,0.4999999999999999,190,squared_error,10,3.75,2
0.9042145593869731,0.0887198986058301,0.4999999999999999,160,squared_error,1,4.5,8
0.8750957854406131,0.0747782002534854,0.4999999999999999,180,poisson,10,1.25,10
0.4022988505747126,0.1875792141951837,0.0,40,absolute_error,5,9.5,16
0.8865900383141763,0.0798479087452471,0.4999999999999999,190,poisson,1,2.75,14
0.8973180076628353,0.0849176172370088,0.4999999999999999,200,squared_error,9,5.0,5
0.8762452107279695,0.0747782002534854,0.4999999999999999,140,poisson,5,6.0,3
0.8689655172413793,0.0716096324461343,0.4999999999999999,60,squared_error,20,6.0,3
0.8636015325670497,0.0690747782002534,0.4999999999999999,100,poisson,6,3.5,2
0.5701149425287357,0.1723700887198986,0.4999999999999999,110,absolute_error,12,3.5,11
0.8697318007662835,0.0716096324461343,0.4999999999999999,60,squared_error,17,1.5,18
0.6578544061302682,0.1641318124207858,0.4999999999999999,120,absolute_error,2,2.5,11
0.7727969348659004,0.1533586818757921,0.4999999999999999,170,absolute_error,13,8.0,18
0.8325670498084292,0.053231939163498,0.4999999999999999,30,squared_error,11,6.75,1
0.928352490421456,0.100126742712294,0.4999999999999999,10,squared_error,1,6.75,5
0.8938697318007665,0.0836501901140684,0.4999999999999999,150,squared_error,12,1.5,1
0.9578544061302682,0.1134347275031685,0.4999999999999999,20,squared_error,16,2.25,3
