no_mbtree,no_asm,no_cabac,no_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,1.4,48.13708333
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,48.139
0,1,0,0,1,3,0.6,23,3,200,0,4,250,23,40,0,1.4,48.139
0,1,0,0,1,1,1,23,3,40,0,4,250,23,40,0,1.4,48.148
0,1,0,0,1,1,0,23,3,40,0,4,250,23,40,0,1.4,44.414
0,1,0,0,1,3,1,23,3,40,100,4,250,23,40,0,1.4,48.086
0,1,0,0,1,3,0,23,3,40,100,4,250,23,40,0,1.4,44.45
0,1,0,0,1,3,1,23,3,40,0,4,250,23,1,0,1.4,48.051
0,1,0,0,1,3,0,23,3,40,0,4,250,23,1,0,1.4,44.315
0,1,0,0,1,25,1,23,3,40,0,4,250,23,40,0,1.4,48.096
0,1,0,0,1,25,0,23,3,40,0,4,250,23,40,0,1.4,44.411
0,1,0,0,1,3,1,23,3,40,0,4,1,23,40,0,1.4,48.748
0,1,0,0,1,3,0,23,3,40,0,4,1,23,40,0,1.4,41.16
0,1,0,0,1,3,1,23,3,40,0,4,250,23,100,0,1.4,48.127
0,1,0,0,1,3,0,23,3,40,0,4,250,23,100,0,1.4,44.453
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,1.4,48.101
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,1.4,44.475
0,1,0,0,1,3,1,23,3,40,0,4,1000,23,40,0,1.4,48.101
0,1,0,0,1,3,0,23,3,40,0,4,1000,23,40,0,1.4,44.473
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,0,32.231
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,0,32.231
0,1,0,0,0,3,0.6,0,3,40,0,4,250,23,40,0,1.4,47.116
0,1,0,0,2,3,0.6,0,3,40,0,4,250,23,40,0,1.4,47.116
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,2,47.177
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,2,47.177
0,1,0,0,0,3,0.6,23,0,40,0,4,250,23,40,0,1.4,47.079
0,1,0,0,2,3,0.6,23,0,40,0,4,250,23,40,0,1.4,47.079
0,1,0,0,0,3,0.6,51,3,40,0,4,250,23,40,0,1.4,47.116
