"title","source_paper","DOI","authors","year","domain","model_origin","Reconstructor","original_notation_and_extension"
" MatNorgeAS_digitalTransformations","Sustainable digital transformation for rural business – a case study of a Norwegian startup","10.1109/ICT4S58814.2023.00028","K. Risdalen, M. Solberg, A. Duc, N. Khan","2023","Sustainability, Digital Transformations","reconstructed-from-image","E. Soulas Moreno","iStar 2.0"
" MedicalConsultationAndDiagnosis"," Eliciting goals for business process models with non-functinoal requirements catalogues"," 10.1007/978-3-642-01862-6_4 ","E. Cardoso, J. Almeida, G. Guizzardi, R. Guizzardi","2009","Healthcare","reconstructed-from-image","E. Soulas Moreno","Tropos 1.0"
" SustainabilityCatalog_SoftwareRequirements"," A Sustainability Requirements Catalog for the Social and Technical Dimensions ","10.1007/978-3-030-89022-3_30","D. Albuquerque, A. Moreira, J. Araujo, C. Gralha, M. Goulao,","2021","Software Sustainability ","reconstructed-from-image","E. Soulas Moreno","iStar 2.0 with color annotation"
"AircraftNoseAssembly"," Goal modelling in aeronautics: Practical applications for aircraft and manufacturing designs ","10.1016/j.datak.2024.102375","A. Chan, A. Fernandes, T. Polacsek, S. Roussel, F. Bouissiere","2025","Aeronautics","reconstructed-from-image","E. Soulas Moreno","iStar 2.0"
"App_LoginSystem ","Using i* Models to Enrich User Stories","https://ceur-ws.org/Vol-978/","A. Jaqueira, M. Lucena, F. Alencar, J. Castro, E. Aranha ","2013","Requirements Engineering","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"BTW_RouteAdviceAndNavigation","Changing attitudes towards the generation of architectual models","https://doi.org/10.1016/j.jss.2011.05.047 ","J. Pimentel, M. Lucena, J. Castro, C. Silva, E. Santos","2012","Route Planning System","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"BuildingConstruction_Ecosystem","Assessing Cirgular Economy Ecosystems through i* Model Analysis"," https://ceur-ws.org/Vol-3533/","C. Ponsard, L. Noel ","2023","Construction industry","reconstructed-from-image","E. Soulas Moreno","iStar 2.0"
"BusinessStrategy_InsuranceCompany","Including business strategy in model-driven methods: an experiment","10.1007/s00766-023-00400-3","R. Noel, J. Panach, O. Pastor","2023","Business Strategy, Insurance","	reconstructed-from-image","E. Soulas Moreno","iStar 2.0"
"BusinessStrategy_Modelling","Beyond Conventional Model-Driven Development From Strategy to Code","https://ceur-ws.org/Vol-2983/","R. Noel, M. Ruiz, I. Panach, O. Pastor","2021","Business Strategy","reconstructed-from-image","E. Soulas Moreno","iStar 2.0"
"BusinessStrategy_TelecommunicationsCompany","Including business strategy in model-driven methods: an experiment ","10.1007/s00766-023-00400-3"," R. Noel, J. Panach, O. Pastor ","2023","Business Strategy; Telecommunication","reconstructed-from-image","E. Soulas Moreno","iStar 2.0"
"CleaningRobotSystem","A goal model elaboration for localizing changes in software evolution","10.1109/RE.2013.6636715 ","H. Nakagawa, A. Ohsuga, S. Honiden","2013","Autonomous Systems","reconstructed-from-image","E. Soulas Moreno","KAOS 1.0 with control loop annotations"
"ConferenceHostSelection_BPCM"," Capturing process knowledge for mulit-channel information systems: A case study ","10.4018/jismd.2012010104"," S. Gao, J. Krogstie","2012","Business Process Characterizing Modeling (BPCM)","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"ContactTracingApp_COVID19","A Divide & Concur Approach to Collaborative Goal Modeling with Merge in Early-RE ","10.1109/RE54965.2022.00009"," K. Habutzel, A. Jain, A. Grubb","2022","Healthcare","reconstructed-from-image","E. Soulas Moreno","Tropos 1.0 with evaluation annotations"
"ContractorSupplier_Interactions","Generating Secure Workflow Designs from Requirements Goal Models Using Patterns ","10.1007/978-3-031-75872-0_11 ","S. Liaskos, I. Jaouhar, S. Muhammad, S. Khan","2025","Supply Chain Logistics, Security Requirements","reconstructed-from-image","E. Soulas Moreno","iStar 2.0/Hybrid SR/SD view with workflow annotations "
"CourseContentManagement"," Using Goal Models to Visualize and Prioritize Requirements for Learning Management Systems","https://ceur-ws.org/Vol-1954/","V. Lantz, J. Horkoff, S. Alibrahim ","2017","Academic Management, Learning Management System","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"CourseOrganization","Definition and Use of iStar 2.0 ","10.1007/978-3-031-72107-6_5","F. Dalpiaz, X. Franch, J. Horkoff","2024","Academic Management","provided-by-author","Original Authors","iStar2.0"
"CrossoverServices_Fliggy","Combining i* and Service Blueprint for Service design: a case study of Fliggy, DOI: 10.1109/ICCSMT58129.2022.00078"," 10.1109/ICCSMT58129.2022.00078","Z. Liu","2022","Online Travel Agency","reconstructed-from-image","E. Soulas Moreno","iStar2.0"
"DecisionMaking_CyberSecurity","Making sense of the unknown: How Managers Make Cyber Security Decisions","10.1145/3548682","B. Shreeve, C. Gralha, A. Rashid, J. Araujo, M. Goulao","2023","Cyber Security","reconstructed-from-image","E. Soulas Moreno","iStar 2.0 with color annotation"
"DecisionMaking_for_SelfAdaptiveSystems","Supporting Decision-Making for Self-Adaptive Systems: From Goal Models to Dynamic Decision Networks","10.1007/978-3-642-37422-7_16","N. Bencomo, A. Belaggoun","2013","IT Systems, RDM (Remote Data Mirroring)","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"EyeCareTreatment"," Aligning goal and value models for information system design","10.1007/978-3-642-01187-0_11","A. Edirisuriya, J. Zdravkovic","2009","Healthcare","reconstructed-from-image","E. Soulas Moreno","KAOS 1.0"
"Generative_Chatbot","Chatbot Design - Reasoning about design options using i* and proces architecture ","https://ceur-ws.org/Vol-1829/iStar17_paper_7.pdf"," Z. Babar, A. Labouchnian, E. Yu","2017","Artificial Intelligence","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"GreenManager_MultiAgentSmartHome","A goal-driven software product line approach for evolving on multi-agent systems in the Internet of Things, DOI: 10.1016/j.knosys.2019.104883"," 10.1016/j.knosys.2019.104883","A. Inmaculada, A. Mercedes, J.M. Horcas, L. Fuentes","2019","Smart Home","provided-by-author","Original Authors","iStar2.0  "
"GridStix_FloodMonitoring","Understanding the Scope of Uncertainty in Dynamically Adaptive Systems","10.1007/978-3-642-14192-8_2 ","K. Welsh, P. Sawywer","2010","Environmental Monitoring","reconstructed-from-image","E. Soulas Moreno","iStar 1.0 with claims annotations"
"HealthClub_AccessControlSystem","Measuring Complexity and Completeness of KAOS Goal Models","10.1109/EmpiRE.2011.6046252 ","P. Espada, M. Goulao, J. Araujo","2011","Access Control","reconstructed-from-image","E. Soulas Moreno","KAOS 1.0"
"HearingAids_SaleAndDistribution_SPL"," From goal models to feature models: A rule-based approach for software product lines"," 10.1109/APSEC.2015.22"," D. Yu, Z. Yhen, Y. Zhang ","2016","Sales and Distribution Management; Software Product Lines (SPL)","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"HotelManagement_IT_InvestmentAlternatives","Evaluating goal modeling languages: An example from the requirements domain","10.1007/978-3-319-12206-9_21","J. Horkoff, J. Aydemir, F. Li, T. Li, J. Mylopoulos","2014","e-Tourism","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"LaboratoryTechnician","A goal-oriented framework for ontology reuse ","10.3233/AO-220269 "," C. Reginato, J. Salamon, G. Nagueira, M. Barcellos, V. Souza, ","2022","Healthcare","reconstructed-from-image","E. Soulas Moreno","iStar 2.0"
"MeetingScheduling","Modeling and Reasoning with Decision-Theoretic Goals, DOI: 10.1007/978-3-642-41924-9_3","10.1007/978-3-642-41924-9_3"," S. Liaskos, S. Khan, J. Mylopoulos ","2013","Meeting Management","reconstructed-from-image","E. Soulas Moreno","iStar 1.0 with precedence link extension"
"Microgrid_EnergyManagement","Multi-agent based coalition formation of prosumers in microgrids using the * goal modelling","10.3233/KES-230902","S. Sumesh, A. Krishna","2023","Energy Management","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"MobileBroadcasting_AudioBus"," Generating goal-oriented models from creative requirements using model driven engineering","10.1109/MoDRE.2013.6597258","F. Wanderley, J. Araujo","2013","Mobile Broadcasting","reconstructed-from-image","E. Soulas Moreno","KAOS 1.0 combined with UML elements"
"MobileGame_DSPL ","Comparing Configuration Approaches for Dynamic Software Product Lines","10.1007/s00766-023-00400-3 "," G. Guedes, C. Silva, M. Soares","2017","Software Product Lines (SPL)","reconstructed-from-author","E. Soulas Moreno","iStar 2.0"
"ModelingToolDevelopment_GrowingLeaf","Looking into the Crystal Ball: Requirements Evolution over Time","10.1109/RE.2016.45 ","A. Grubb, M. Chechik","2016","Software Tool Development","reconstructed-from-image","E. Soulas Moreno","iStar 1.0 with dynamic functions and evaluation annotations"
"MuseumAssistanceSystem","Optimizing monitoring requirements in self-adaptive systems","10.1007/978-3-642-31072-0_25","A. Raian, A. Griggio, A. Franzen, F. Dalpiaz, P. Giorgini","2012","Assistance Systems","reconstructed-from-image","E. Soulas Moreno","Tropos 1.0"
"MuseumGuide_MobileInformationSystem","A goal-based framework for contextual requirements modeling and analysis","10.1007/s00766-010-0110-z ","R. Ali, F. Dalpiaz, P. Giorgini ","2010","Assistance Systems","reconstructed-from-image","E. Soulas Moreno","Tropos 1.0 with context annotations "
"OnlineCustomerOrder_ProcessingSystem","Ensuring consistency among business goals and business process models","10.1109/EDOC.2013.12","B. Nagel, C. Gerth, G. Engels, J. Post","2013","E-commerce","reconstructed-from-image","E. Soulas Moreno","KAOS 1.0"
"OSSAdoption_Telecommunications","Aligning Business Goals and Risks in OSS Adoption","10.1007/978-3-319-25264-3_3","D. Costal, L. Lopez, M. Morandini, A. Siena, M. Annosi, D. Gross, L. Mendez, X. Franch, A. Susi","2015","Open-Source Software (OSS); Telecommunications","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"PatientAndProvider_remoteHealthcare","Sensitivity Analysis of Conflicting Goals in the i* Goal Model","10.1093/comjnl/bxaa189"," S. Sumesh, A. Krishna","2022","Telemedicine","reconstructed-from-image","E. Soulas Moreno","iStar 1.0"
"PatientCareGivingSystem_SmartHome","Reasoning with contextual requirements: Detecting inconsistency and conflicts","10.1016/j.infsof.2012.06.013 ","R. Ali, F. Dalpiaz, P. Giorgini","2013","Smart Home System; Healthcare ","reconstructed-from-image","E. Soulas Moreno","Tropos 1.0 with context annotations "
"PatientHealthCheckRoutine","Adaptive socio-technical systems: A requirements-based approach"," 10.1007/s00766-011-0132-1","F. Dalpiaz, P. Giorgini, J. Mylopoulos ","2013","Healthcare","reconstructed-from-image","E. Soulas Moreno","iStar 1.0 with context and task annotations"
