label,fault,system,error,use,model,toler,method,detect,network,test,softwar,propos,base,defect,algorithm,control,paper,data,correct,diagnosi,techniqu,design,approach,result,present,applic,perform,analysi,simul,power,time,process,develop,circuit,effect,code,gener,distribut,comput,new,measur,implement,failur,current,reliabl,bas,scheme,oper,high,improv,Title
0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Sinogram-based motion correction of PET images using optical motion tracking system and list-mode data acquisition
0,5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,A fault tolerant control architecture for automated highway systems
0,2,4,0,0,2,2,0,0,0,0,1,3,1,0,0,0,1,0,0,0,3,3,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,2,0,Fault tolerant memory design for HW/SW co-reliability in massively parallel computing systems
0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,3,0,1,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Efficient color correction approach for phase unwrapping based on color-encoded digital fringe projection
0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High-performance line conditioner with output voltage regulation and power factor correction
0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Study on Fault Diagnosis Expert System for Power Supply Circuit Board on Vxi Bus
0,9,3,0,0,0,0,0,0,2,0,0,0,3,0,0,2,1,0,0,5,0,2,0,0,1,1,0,0,0,1,0,0,3,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Fault diagnosis systems development for Fuel Cell Vehicle
0,0,2,0,2,0,0,0,0,0,2,0,0,1,0,1,1,1,0,4,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,Non-uniformity correction and calibration of a portable infrared scene projector
0,7,0,0,1,2,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,The Two-Level-Turn-Model Fault-Tolerant Routing Scheme in Tori with Convex and Concave Faults
0,0,4,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Slicing and dicing bugs in concurrent programs
0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,Cross-layer error resilience for robust systems
0,3,3,1,2,0,0,0,0,1,9,3,0,1,0,0,0,1,0,0,0,3,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Search-based Prediction of Fault-slip-through in Large Software Projects
0,0,0,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,Error visualization of tetrahedral subdivision approach for trilinear interpolation
0,3,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,6,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Logic fault test simulation environment for IP core-based digital systems
0,5,0,0,3,0,4,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,Blocking vs. Non-Blocking Coordinated Checkpointing for Large-Scale Fault Tolerant MPI
0,9,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Induction Motor-Drive Systems with Fault Tolerant Inverter-Motor Capabilities
0,4,1,0,1,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,IP core logic fault test simulation environment
0,0,3,0,0,0,0,0,0,2,0,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Surface Defects Inspection System Based on Machine Vision
0,0,1,2,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,3,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,5,0,0,0,0,0,0,3,0,0,Research on real-time error measurement in curve grinding process based on machine vision
