label,softwar,model,system,use,develop,process,research,engin,studi,design,project,method,paper,data,inform,manag,approach,analysi,result,requir,base,knowledg,applic,evalu,present,test,support,bas,effect,propos,perform,technolog,experi,comput,web,improv,problem,product,learn,techniqu,review,tool,provid,differ,program,estim,user,work,framework,commun,Title
1,5,3,0,1,0,4,4,0,1,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,2,0,1,0,2,1,0,2,0,0,0,1,0,5,0,0,1,0,1,0,0,0,0,0,0,1,A Conceptual Model of ICT-Supported Unified Process of International Outsourcing of Software Production
1,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,2,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,A Quantitative Assessment of Requirements Engineering Publications ? 1963?2006
1,6,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A survey and taxonomy of approaches for mining software repositories in the context of software evolution
1,2,0,2,5,1,0,2,1,0,0,3,0,3,9,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,An analysis of data sets used to train and validate cost prediction systems
1,0,13,3,0,0,0,0,0,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,Challenges in Collaborative Modeling: A Literature Review
1,3,0,0,2,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,5,2,0,0,0,0,1,0,0,Controversy Corner: A new research agenda for tool integration
1,3,0,0,2,0,0,1,3,2,0,0,1,0,7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Data sets and data quality in software engineering
1,5,0,0,1,2,0,7,0,2,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Developing Open Source Software: A Community-Based Analysis of Research
1,0,0,0,2,1,1,1,0,4,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,Effectiveness of Requirements Elicitation Techniques: Empirical Results Derived from a Systematic Review
1,4,1,0,1,3,3,0,0,2,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,1,0,1,0,0,Evidence-Based Guidelines for Assessment of Software Development Cost Uncertainty
1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Experimental context classification: incentives and experience of subjects
1,5,0,0,0,2,2,0,0,1,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,How Does a Measurement Programme Evolve in Software Organizations?
1,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Improving Evidence about Software Technologies: A Look at Model-Based Testing
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,3,0,0,0,0,0,1,In search of `architectural knowledge'
1,8,0,1,0,3,3,1,2,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,Measurement in software engineering: From the roadmap to the crossroads.
1,0,0,8,0,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,Mobile Systems Development: A Literature Review
1,8,0,0,1,0,1,1,0,7,0,0,0,1,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,2,3,0,0,3,0,0,0,1,0,0,0,0,0,Quality productivity and economic benefits of software reuse: a review of industrial studies
1,4,5,0,0,0,5,7,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,Reflections on 10 Years of Software Process Simulation Modeling
1,9,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,1,Software process improvement in small and medium software enterprises: a systematic review
1,5,1,1,1,0,0,4,1,1,1,3,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Software project economics: a roadmap
1,5,1,0,1,1,0,6,2,6,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Status of Empirical Research in Software Engineering
1,2,0,0,1,0,3,0,1,2,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,0,2,0,0,2,0,1,0,0,0,0,0,0,0,Systematic review of organizational motivations for adopting CMM-based SPI
1,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,9,0,0,0,5,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Systematic review: A systematic review of effect size in software engineering experiments
1,1,1,0,2,2,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,Tailoring and Introduction of the Rational Unified Process
1,0,0,0,0,3,2,2,0,1,1,0,0,1,0,0,0,0,1,2,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,Techniques for developing more accessible web applications: a survey towards a process classification
1,5,0,0,2,0,0,2,5,3,6,0,0,3,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Role of Deliberate Artificial Design Elements in Software Engineering Experiments
1,3,0,0,0,1,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The type of evidence produced by empirical software engineers
1,2,0,0,0,1,0,0,1,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,1,0,1,0,0,0,0,0,0,Where Is the Proof? - A Review of Experiences from Applying MDE in Industry
1,0,12,0,2,0,0,0,0,6,0,2,0,2,4,0,0,0,1,4,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,Cross versus Within-Company Cost Estimation Studies: A Systematic Review
1,4,0,0,1,1,0,5,0,4,0,0,2,5,2,0,0,2,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,8,0,1,0,0,A Systematic Review of Software Development Cost Estimation Studies
