label,softwar,system,model,fault,test,use,qualiti,perform,data,measur,process,detect,develop,metric,predict,network,design,applic,method,base,reliabl,approach,techniqu,algorithm,estim,paper,analysi,propos,result,servic,evalu,defect,time,control,present,failur,code,studi,improv,error,program,requir,assess,effect,comput,gener,provid,architectur,bas,project,Title
0,1,0,0,2,3,5,0,2,1,1,1,0,0,0,1,0,1,0,1,2,0,0,4,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,7,1,1,0,0,0,Diagnostic Maintenance: A Technique Using a Computer
0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,A Very High Speed Electro-Optical-Mechanical Phototypesetting Machine
0,0,3,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recognition of Handprinted Numerals by Two-Stage Feature Extraction
0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Computer Diagnosis Using the Blocking Gate Approach
0,0,0,6,0,0,2,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Simulation modeling for air quality control
0,3,2,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,Associative memories and processors: An overview and selected bibliography
0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Computer integration in the Kieler Multisonde
0,1,8,0,8,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,0,0,3,0,1,0,0,0,Fault-Tolerant Computing: An Introduction and a Perspective
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,10,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Methods for the Determination of Specific Organic Pollutants in Water and Waste Water
0,2,7,2,5,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Concurrent software fault detection
0,1,3,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Safeguard data-processing system: Maintenance and diagnostic subsystem
0,0,6,0,0,0,1,1,0,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Microprocessor Controlled Data Acquisition Systems
0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Some preliminary experiments in the recognition of connected digits
0,6,10,1,6,1,2,0,1,0,1,2,1,1,0,0,0,4,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,Fault-Tolerant Computing: A Introduction
0,1,2,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Redundancy management of shuttle flight control sensors
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Mainframe Implementation With Off-The-Shelf LSI Modules
0,3,4,0,6,0,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Evaluation of Maintenance Software in Real-Time Systems
