label,system,test,softwar,fault,model,use,detect,qualiti,data,predict,approach,applic,develop,process,servic,design,network,method,base,propos,defect,paper,techniqu,analysi,perform,reliabl,code,result,error,assess,requir,algorithm,failur,time,gener,program,case,tool,bas,present,metric,studi,evalu,measur,effect,architectur,control,improv,compon,provid,Title
1,2,0,7,1,8,4,0,3,4,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,3,4,0,0,0,0,0,0,Classification-tree models of software-quality over multiple releases
0,0,0,1,0,1,0,0,3,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,A Software Development Process for Small Projects
0,2,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,0,0,0,0,2,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,A model for the sizing of software updates
0,0,1,8,1,4,2,0,2,0,6,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Predicting risk of software changes
0,1,12,0,9,4,3,4,1,0,0,1,0,0,0,0,0,0,1,1,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Resource-constrained compaction of sequential circuit test sets
0,1,0,1,4,1,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,4,1,3,0,2,0,0,0,0,10,0,0,0,0,1,0,0,0,0,3,0,3,1,0,2,4,2,Use of fault tree analysis for evaluation of system-reliability improvements in design phase
0,11,1,1,2,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,Analysis of safety systems with on-demand and dynamic failure modes
0,0,2,3,0,6,2,0,0,5,3,0,0,1,0,0,0,0,3,0,0,0,1,1,2,4,3,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Enhancing the predictive performance of the Goel-Okumoto software reliability growth model
0,6,0,11,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,Software FMEA techniques
0,0,1,1,0,0,0,2,0,0,0,0,0,2,3,0,2,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,1,1,2,0,1,1,0,1,A physics/engineering of failure based analysis and tool for quantifying residual risks in hardware
0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,The SecureGroup group communication system
0,3,4,12,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Software fault injection for survivability
0,0,0,3,0,6,0,0,1,1,2,2,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Software reliability models with time-dependent hazard function based on Bayesian approach
0,5,0,2,1,0,3,2,0,0,0,3,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Survivability through customization and adaptability: the Cactus approach
0,0,0,6,0,0,1,2,0,0,0,1,0,3,0,0,0,0,0,1,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,The effectiveness of software development technical reviews: a behaviorally motivated program of research
0,2,0,6,0,2,3,0,0,0,0,0,3,2,0,0,2,0,10,2,0,0,1,0,1,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Technology transfer issues for formal methods of software specification
0,6,0,8,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,7,0,0,0,0,1,1,Analyzing Java software by combining metrics and program visualization
0,5,0,1,1,0,1,2,0,1,0,0,0,2,1,3,0,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,Proactive maintenance tools for transaction oriented wide area networks
0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,When management agents become autonomous how to ensure their reliability?
