label!,Test,Fault,Model,System,Software,Data,Qual,Design,Method,Network,Approach,Defect,Can,Develop,Perform,Reli,Algorithm,Detect,Propos,Bas,Using,Service,Analysi,Code,Used,Proces,Use,Tool,Detec,Result,Web,Differ,Fail,High,Predict,Applic,New,Pap,Effect,Inform,Time,Pow,Program,Comput,Show,Also,Techniqu,Metric,Numb,Control
yes,0,1,7,0,6,4,3,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
no,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
no,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
no,0,0,4,0,7,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,4,0,2,1,0,2,1,0,0,0,0,0,0,0,2,0
no,11,8,2,1,0,0,1,0,1,0,1,4,3,0,0,0,0,4,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
no,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,1,0,0,1,0,1,0,0,9,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
no,1,2,0,7,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,2,0,4,0,2,5,0,0,2,0,0,0,0,1,3,2,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
no,0,0,0,6,10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2
no,0,0,0,0,1,0,0,2,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1
no,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
no,3,1,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
no,0,0,3,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
no,0,1,0,4,2,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0
no,0,0,0,0,5,0,0,0,0,0,1,2,0,1,4,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
no,0,0,1,1,4,0,0,2,6,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
no,0,0,0,4,5,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
